dateTime,source,energy,distance
2022-03-25 20:08:46.932218,3,0,63
2022-03-25 20:08:47.012309,3,0,63
2022-03-25 20:08:47.107827,3,0,63
2022-03-25 20:08:47.187934,3,0,63
2022-03-25 20:08:47.283478,3,0,63
2022-03-25 20:08:47.363564,3,0,63
2022-03-25 20:08:47.459079,3,0,63
2022-03-25 20:08:47.539164,3,0,63
2022-03-25 20:08:47.634643,3,0,63
2022-03-25 20:08:47.714801,3,0,63
2022-03-25 20:08:47.794875,3,0,63
2022-03-25 20:08:47.890379,3,0,63
2022-03-25 20:08:47.970407,3,0,63
2022-03-25 20:08:48.066158,3,0,63
2022-03-25 20:08:48.146101,3,0,63
2022-03-25 20:08:48.241663,3,0,63
2022-03-25 20:08:48.321689,3,0,63
2022-03-25 20:08:48.417303,3,0,63
2022-03-25 20:08:48.497295,3,0,63
2022-03-25 20:08:48.592914,3,0,63
2022-03-25 20:08:48.672979,3,0,63
2022-03-25 20:08:48.768527,3,0,63
2022-03-25 20:08:48.848635,3,0,63
2022-03-25 20:08:48.944181,3,0,63
2022-03-25 20:08:49.024229,3,0,63
2022-03-25 20:08:49.119852,3,0,63
2022-03-25 20:08:49.199891,3,0,63
2022-03-25 20:08:49.295500,3,0,63
2022-03-25 20:08:49.375594,3,0,63
2022-03-25 20:08:49.471096,3,0,63
2022-03-25 20:08:49.551125,3,0,63
2022-03-25 20:08:49.646724,3,0,63
2022-03-25 20:08:49.726774,3,0,63
2022-03-25 20:08:49.824688,3,0,63
2022-03-25 20:08:49.902415,3,0,63
2022-03-25 20:08:49.997950,3,0,63
2022-03-25 20:08:50.078070,3,0,63
2022-03-25 20:08:50.158146,3,0,63
2022-03-25 20:08:50.253694,3,0,63
2022-03-25 20:08:50.333781,3,0,63
2022-03-25 20:08:50.429283,3,0,63
2022-03-25 20:08:50.509327,3,0,63
2022-03-25 20:08:50.604897,3,0,63
2022-03-25 20:08:50.684931,3,0,63
2022-03-25 20:08:50.780563,3,0,63
2022-03-25 20:08:50.860659,3,0,63
2022-03-25 20:08:50.956142,3,0,63
2022-03-25 20:08:51.036241,3,0,63
2022-03-25 20:08:51.131789,3,0,63
2022-03-25 20:08:51.211892,3,0,63
2022-03-25 20:08:51.307416,3,0,63
2022-03-25 20:08:51.387487,3,0,63
2022-03-25 20:08:51.483042,3,0,63
2022-03-25 20:08:51.563130,3,0,63
2022-03-25 20:08:51.658640,3,0,63
2022-03-25 20:08:51.738757,3,0,63
2022-03-25 20:08:51.838106,3,0,63
2022-03-25 20:08:51.914376,3,0,63
2022-03-25 20:08:51.994422,3,0,63
2022-03-25 20:08:52.090120,3,0,63
2022-03-25 20:08:52.170124,3,0,63
2022-03-25 20:08:52.265663,3,0,63
2022-03-25 20:08:52.345724,3,0,63
2022-03-25 20:08:52.441317,3,0,63
2022-03-25 20:08:52.521331,3,0,63
2022-03-25 20:08:52.616934,3,0,63
2022-03-25 20:08:52.696977,3,0,63
2022-03-25 20:08:52.792520,3,0,63
2022-03-25 20:08:52.872641,3,0,63
2022-03-25 20:08:52.968159,3,0,63
2022-03-25 20:08:53.048237,3,0,63
2022-03-25 20:08:53.143795,3,0,63
2022-03-25 20:08:53.223844,3,0,63
2022-03-25 20:08:53.319425,3,0,63
2022-03-25 20:08:53.399706,3,0,63
2022-03-25 20:08:53.495111,3,0,63
2022-03-25 20:08:53.575267,3,0,63
2022-03-25 20:08:53.670794,3,0,63
2022-03-25 20:08:53.750913,3,0,63
2022-03-25 20:08:53.846536,3,0,63
2022-03-25 20:08:53.929409,3,0,63
2022-03-25 20:08:54.022064,3,0,63
